topic id,Connected nodes
1293,[ 274  336  293  287  298  342  158    4   49  317  139 5590]
1296,[  91   72  348    7   67    2  287  161  130  322 9288]
1297,[364  67 331  72 146  54 279 353 161 158 100 317]
1862,[  7  28  16 269]
1301,[348]
1300,"[   0   72    7   91  168   67  304  267   49   84   16    2  130 1104
  208 2209 2392]"
1302,"[ 274  348   85   65   72    2   67  130  108  132    0  159 1080   37
  293]"
1305,[ 91  72  67  28 368]
1303,[ 65 132  49 331   9]
1306,"[ 164  130  161   67  317  108  234   64  274   14   84   37    2   16
  131   81  255    0  368  132  206 3491]"
1315,"[  0 353 161  16  67  56 132 364 130 287 342  49 131 329  72 331 146 335
 255]"
1352,"[ 274   91  131  287  329    9  255   25    0  362   72 4720 5805 5082
 5779 9475  132 6122 6117]"
2511,[2082 5082  130 5779 2220 6113]
1533,[ 85  65   2 660  14   7 287 317  37 281]
1310,[353   7 283 161  16]
1311,"[266 287 130 161 255 342 132 101  72 283 353   4 317  67 304 279 274 315
 857]"
1381,[287 130 329 364   0 164  84 331 161 293   8 805 269   2]
1313,[  85  161  255    7   28 2037 2075 2144 2256 6168]
1312,"[  7  56 161   4   2  49  16 331 279 342  67 255 130 317 168 333 266 274
  91 283   9 101]"
5344,[1558 9549 7757 9288 9503]
4371,"[7508  288 7757 8052 3721 7816 7719 6321 1558 7424 9475 7504 6278 6106
 8117 8151]"
1317,[158  16 287  67 130   0 342 329 315]
1318,"[  67  287   72  331   37  298  164  279  329  342  158 6122  288 6269
 2392 6266 1558 6207 9475 2220 6359]"
1321,[  0  67 132 293 372 317 206 130 287   9  91]
1329,[  14  317  161  131  246   72 6122 6106 2392]
1324,[ 85 114   4 130 353 158 317 304 563 326]
1327,[207  85  68 130   7  49 240  14 287 255   0  72 279 266 283 132 317]
2005,"[6174    7  288  333   49 2144 2027  287  283   35 6106  133 6120 6134
  132 6165  164   28 8151 3721 6260 8133 4873 7816    1 9144 7636 6359
 6113 7346 9475 7504 7424 6122 9174 7962 9446 6274 9698]"
2002,[ 274 1578  287 2220]
1330,[ 372  255   72   64  101  158 1578]
1332,[   1  279  293    7  287 9353]
1333,"[362 279  72  16 146 101 161 364  67 331 326  85 317 158 342 446 130 255
  65]"
1334,[  9  72 283 132 287]
1342,[ 279  342  132  287    4   49    9  255 9353 6359]
1364,"[ 329  293    4  364  279  298  372  240    7   91   16  287   11  495
   29  158  304 1109  958 1578 1558 1812]"
1335,"[  9  85   2   7 287  72 161  67 255 317 326 132 563 279 362 304 315 164
  65 168]"
1336,"[ 342   16   67   84  372  132   49  364   72    4  255  101  266  283
 1578]"
1340,[ 11 342   4 293 240 329 315]
1347,"[ 446   67  279  161    2   16   84   72  130  255    0 7346 6321 7405
 7636 8026 7719 6113 6168 3721 7903 6122 8133 1209 2820 9475 7986 4873
 8153 6217 8018 9434]"
2026,[3143 2037  146 1109   67 1209 2336  158 2129  208]
1343,[  85  287    9  342  279  255  283 1558 2099]
1344,[446 342   2  67 161 329 279 158  16  72 131 255   0   4]
3740,[6278 1558  287 7424 8117]
1346,[  4 279 287 130 161 132]
1348,[198  49 131   4 130 287 331]
1354,"[  2   0 255 287 446  67 132  65  72  11  16 279 246 283 342  91 164 274
 317 563 133 304  49   7   4 158 288]"
1349,[279   2 287  91 198 317]
1351,[ 16  91 287 130]
1353,[422 132 287 279   4 239  72 161  67 240   9  16 255 131 342   0 146 158]
1356,[  0 329 287]
1358,[  85    4   28    0   16  161  281 1744 7864 2075]
1359,"[317  85   4 293 329  67 161 287  49 279  16   0 246 240 131 114   2 298
 372 255 158 304 945]"
1360,[ 91  28 287 317 125 100]
1431,[ 372  317  298   49    2    4  287  293  130   84   72   65  288 1578]
1612,[ 132 1109  958 1270 1104  287]
1594,[ 317  861  329 1109]
1368,"[ 283   85   72  101    2  287   67  353   56  335  317  279  288 6117
 9475    4 6235 4873 3491]"
1363,[ 422   67    4  239  287  329 1558 1986 1109    0]
1365,"[495 329  67  16 131 161 342 331 364 279 240 335 164  72 287 446 317 132
   0 362 353 158]"
1367,"[  81  298  293    2  331  372  342  279   67  287  274    9   72    0
    4  283   54    7   49  130  266   56  161  101  255  317 1744 1104
   13]"
1369,"[ 493    4   67   25  101  283  319  342   11   54   72  164   49  287
  161   85  335  495  281 2099  132  288]"
1370,[505 161  67  16 364 131 317 287 331  72   7 329 130 279 158]
1371,[ 16 342 287 960  49   0]
1372,[168]
1375,"[  11   16    9   29   13   54    8   55   49   23   44   14    3    0
   20   64   12   68    5   56   53   81   67    7    4   85   94   84
    1   40  100  101  108   35  125  132  130  139  142  159  140  167
  187  138  183  188  164  197  190   28  129  206  146  230  168  236
  265  158  261  279  304 6235  298  293  283  131  288  329   65  338
  274  348  361  342  317  505  364  239 6278 1368  958 1109 1558   50
 1730 1772 1209 2037 2082 2179 2271  161 2099 2319 1986 9304 2351    2
  857 2392  281 7600 3721 9916 3491 6321 9873 5359 4151 5664 2820 6113
  991 6112 6168 6115 6117 1066 4873 5343  821 6155 6144 5805 6190 3568
  326 2306 6120  227 6269 6274 6280 6322 6151 6156 7636 6254 9475 7364
 8232 7508 7575 9288  104 7543  353 7705 7720 7730 7346 9144 7816 7846
 7953 7864 7504 7719 7424 8113 8173 8140  333 8192 8346 6359 9393 8117
 8816 8971 9109 8260 7962 8982 8165 7903 7986 9353 9112 9384 9334 2170
 9486 9482 9503 9491 9149 9496 9521 9152 9531 9559 9548 9605 9174 9571
 9210 9388 9267 9655 9679 9666 9620 9555 9668 9610 9730 9476 9217 9784
 9673 9510 6208 9866 9872 9622 9690 9363 9905 9876 9940 9950]"
6212,[8232 9288 9620 4873 9950 9940 9621 9532 9304  168]
5589,"[   1 1558 9584  132 7543 9571 9563 9521 8310 7504 9583 9335 9655 2820
 9551 7636 6359  288]"
5575,[9633 9534 1558 9304 7405 6359 9655 7636]
5345,[9550 7760 9503  287 9476 9240 6237 9144 9559]
1376,[342 132 131 161 287 168]
1377,[342  72 287 364 329   8  64 158 563 133]
1396,[304 329 287 158  67]
1378,[240 326  72  85   4 342 329 364  67  84 495 130 331 255   8]
1379,[161 342  64]
1380,[329   2 274 266   1]
1399,[446   2  67 372 130 368   0 960   8  37]
1441,"[ 91 266   4  14 130 329   7 315  85 101 317 805 660 368 342 287  16   0
 132 239 274  67 168 362 364 361 861 563 188 293]"
1386,[342  85 315 274  72 364  65 158 331 317 255 287  64   2 133 161 857]
1426,[204]
1387,"[368  16  67 362  72 364 158 161 331 130 317 342 131 326 133 198 315 361
 255]"
1388,[  4  49  67  16 240 342 161 326 255  64]
1389,[563 164 293  67 342  16 161  72 495 279 198 130]
1457,[   0  288 2099]
1452,[  0 132 293  72 158 100 329   1 161  56  67 660 335 317 368]
5969,[9353 9288 9534 6113  287 9786]
1392,"[ 563  317    2  364  161  298  372   72  342  287   56  158   65  329
  114  267   84  279 1014  204 1080  304 2351 2275  861  288 2392 6272
 6106 6290 7635 7567 7543 7686]"
1393,"[ 133  198    4  255   67  331  287   16  279  317  158  326  315  364
  293  805   65 6359  131 7504 3711 6117 6190  130   49 5805 4873    0
 6149 6155 6278 2306 7958 6322 6271  132 1558 2392 6269    3 3721 6321
 6247   85 7635  288 7424 6113 7720 7816 9503 9334 9393 9174    1 6168
 8232 2170 9491 9475 9551 7508 9571 7543 9620 9335 9534 7636  283 8816
 9690 9144 9707 9872 9720 2027 9873 9476]"
5713,[9571 9353 7504 7543]
5714,[8816 6151 6359 7757  287 6155]
1398,[329 592 161 131 130 563  16  85 279 331  67 287  72 158 101]
1395,[279   2 255 287 130  72 158  67]
1397,[563  84  67   2  16 279 255  11   7   4 329 132 130 101  49 274]
1406,[   2  329  317 1014  304]
1401,[  7 364  13 161 287 255   4 100 368 130 317 283 857  37  14  67 861 315]
1438,"[ 317  158    2  255  368  287  164  281   67   86   85 2082    0   16
 6117 6199 5805    7 6201 2220 1986   49 2392 6218  132  288]"
1436,[805 130 204   1 240 132]
1404,[266 329 283   7]
1405,[266 495  67  16 132 283 315]
1410,"[266 495 663  67 348 660 131 342 279 364 130 329 287 293 563 164  72 335
 317 101 158 100 331 362  11   7 132  35 255   0   1 288]"
1415,[342 361   1 293   0 255 131 368 158]
1411,[  0  67 130 131 279  16 364 287  72 101 158 353 331 100]
1420,[333 255 317 372 287   0 660 368 130   2 274   7]
1413,[  0 279  16   2 287 204 364  54 293 164  72  84  67 101 158 100 132 368]
1414,[ 11 329  67  16   0]
1416,[  0  67   4 342  11 495 100 331   7 361 130  72 660 368 158 279]
1417,[293 287   0 304   1 317 168]
1418,[ 85   4 329 361]
1427,"[ 298   67  368  287  335  329  342  255  130  293   49   72  372  317
  164   37  283  805 3491   16 4772 5359 6207]"
1421,[288   0  65]
1422,[266 274 287 335  72   7]
1424,[164]
1423,[317 130  85 287 293 279 335 372  56 298   2  67  16]
1425,[361  56  67 287 329 368]
1428,[  0 100  49   7  85  67  72 368 660 361 495 158]
1480,[287 361 335   4 288 331 368 274]
1430,[  4  16 283 660   2 331  72]
1433,[132  49  65   7 101  72 342 130 100 204  29 368 287 329  11 335 331]
1434,"[255 805  72 130 161 131  67 279 368 660   0 335   7 317  84   2 348  16
 364 158 132  25 298]"
1439,"[ 368  204  805  364  287  131    1   16  353    8  161  592   67  255
  304  188  206  130   50    4   49  878 2037 1983 2099 2082 2027  293
  991    2  333  132 1104 1209]"
1437,[  0 132 368 331 255 317 274 287  11]
1440,[368 287 319 255 317  54 329  67 279 293   4  16 335  37   0 246 130 274]
1495,[368 130 317   7   0  16]
1442,"[821 335  67  13 131  72  16   1 161 293 130 364 317   7 279  84   8 204
   2 158 805 660 255 348   0 368 246 101  85 331  14]"
1532,[266 287  67   7 329  16 274]
1444,"[ 281  342  368  161  660  287    0  317  361  101   65  158   14    2
    4 9475]"
1447,"[6168  132    2   49  255   67    7  161   53  158  101   14  130  129
  236   43  114  258    9  261  108    4    0  263  279  283  288  287
   84   56  293  317  131   25  271   91  315  188  592  304 6122 6198
 9475  208 6120 6150 1066   16 6134 6217 6155  505 2082 6208 6117  333
 6113 6254 4873 6269 6554  125 6322   68  274 2306 6359 7504 6249 7508
 6278 7543 7720 7346 7424 1558 6321 6271 6274 8117 2170 7600 8650 8816
 7719 8212    1 7760 9174 7816 9144 9176 2820 8232 8165 9334 9446 9503
 9532 9288  168 9601 9571 9267 9679 9393 9636 9719 9668]"
3085,[   0 6117 6168 6274 6976 6554]
1448,[592  16 298 130   1   4 101 274 287 132  14]
1450,[287 317 255  13 130 158 146]
1451,[ 67  16 329 239 130   2  14]
1454,"[ 130  283   16   72    7   54  805   49  495  287  364  293   65    2
  164 6117  563  288 1558  132 2099  184 7958   67  158  274    0 6134
 6122 6113  146 2306 9475 6249  168 6254 7508 7575 6359 6322 7636 7346
 6168 7882 7719  353 3721 6321 9144 7903 9174 9393 9503 8059    1 7481
 9446 9535 9288 9679 7543]"
1453,[130   0  72 100 329 161 239  67 660 158 364]
1458,[ 14 131 130 101   0]
1459,[861 131  67 161  72 364 130 164 335 660 158   4 960]
1455,[206 130 266 805 274  72 101 287 255 240  16 283 317 362  35  37]
1461,[ 288   72   67  342   65  281 2099 2220 1066    0 6117  130 6209 6208]
1460,[ 49 288   7 287  37 329 164 283   0]
1462,[ 288  317    2   49    4  335  130  158  161  563 5805]
1627,[ 333    2    4  287  101 1270  317  188  158   16]
1463,"[862   2 364  16  67 288 342 335 164 317 101 130  14   7 158  72 660 161
   1   4 329  49 293 368]"
1464,[865  67  16 100 131 317 130  14 158 329  72 660 368 161 364]
1546,[ 317  329  342  368    2   16   85  188  158  164  372   91  130 1104]
1468,[283 287 329 342 331  72 158   0 164 317 293]
1486,[958 287  72 161  67 131 364 317 660 368  56 239   0 288 361 342 158]
1472,"[  49  288    0  329   72 1109  279  945 1772  132  283 2037 1209 9475
 7600 9482    1 9559 9327 9353]"
1470,[ 54  91 317  16 288 287 236 281 304]
1471,[  4  14 161 283 592 132 288 364 317 368  16   0 857 495 101]
1473,"[   0   14  329    4  274  130  287  317  660  133  368  288    1   35
  138  857  331   67  198    8    2  164   37   17  805 2750 2392 6106
 6122  281  168]"
1474,[198 857 364 368  72  67  65 161 660 158]
1485,[364 945   0  72 161  67 329 130 158 368 335]
1476,[  2 364  65 132   0 331 660 130 287 288  16  67 133 158]
1477,[317 887   2 132   0  72  67   7  56 368 161 131 364 158]
1482,[283 130 132 158 315]
1478,"[ 240   49  660    0  329  132  283   56  130  198  364  368  188  161
  317    4  293  158    7   67   16  131 9288]"
1487,[  0  67 317  16 364 131 960 368  72 329 161   7 158]
1579,[1104  188  353  281  132]
1489,[ 958  288  287  342    4   37  239  283 7567 6168 7504    2]
1516,[861 364 130  14 660 368 960 329  37 293]
1484,[130 317  67  14 287   2 660  56  65  91]
1488,"[960 130  14  67 204   2 364  44 317  54 298 131 372  16 335 368  72 288
 361 329 161  65 158 239 857]"
1490,"[  0 329 364  67 161  84 945 158 958 361 239 660   2 368 857 188 131  72
 335 317]"
1505,[ 16 131  56  67   2 130 281 287 342   0  37 335 158 132 317]
1491,"[ 168   67   16  161  368 8018    1 7504 7719  274 7816 9267 7600 1558
 7945  958 9288]"
1493,[  0 188 130   7   2 159 372 335 368 317 287  16]
1494,[  0  14 130 188 958  54]
1496,[ 67 161 317]
1497,[  0 368 287 130 132  16  29]
1498,[274 130   0   4   7 861 281]
1504,[  0 329 246 342 287 168 315]
1499,[208 364  14  37 281 130 132 287]
1502,"[ 368  132  168  287   67  283  861  274   37  130  364  317  857   49
 5805]"
1507,[ 274  283  287   37 9174]
1503,[132 287   0 329 317 660  16   7 161 368  14 188   1]
1506,[240 364 368 287 342   0  65  37 274]
1522,[274 329 331 164 368  37 342 281 287 130]
1509,[  0 287  65  67  37 130]
1510,[317  91 287 861   0 361 331 368 281   4 335]
1511,[ 91 317   7]
1515,[ 279  960  287  130  188 6113 3143    1]
1513,[ 65 329  56   7 960 368  54  37  67 281   0]
1517,[168 130 329 287]
1520,[  49  267  281  130  660  335   72   28  329  266  132  364 4151 1109]
1518,[368  14 279  91 329]
1521,[660 130 274]
1537,"[  37  329  287  281   14   16   67  317  960   56  368  168  861  279
  805 1066  945 6712  288]"
1536,[861  37 164  14 130  49 161 364 293 320 805]
1525,"[ 368  132   14  287  240  364  317   37   67  130  279    0  283  255
  158 1812   35]"
1529,"[  11   37 1014  204  329  364   54    2   16  368   29  293   72  158
   67  335  101  287    1  279   49  342  161  130  660  281   14  317
  563  805  304 1080]"
1524,[991 329 130 364  72 368 335 131  67 161  16 353 281 158]
1896,"[   0 2256   67  288 2275    7  274 1209   35 1558 2351 2288    2  131
  158]"
1526,[ 85 287   4  37   2  67 240 130   7 281 317  16 861]
1531,[317 287 364 266 329 281 130  37 368]
1527,[ 49 287  65 329  16 368 130 960  67  14   7  37  28 208 168]
1923,[2306 1209]
1918,[ 274 1578    0 2288 2037 6106 6217 6208  164 6359]
1528,[368 161  56  68]
1530,"[   0  329  364   54  368   29 1014  293   72  158   67  161    7  361
  281  960  131  100]"
2007,"[2351 2082 2075 1986  283  188   49    7 2037   53  315  158 5113   16
 2392 2209  274]"
1554,[ 91 130]
1897,[188  49]
1888,[2306  132 1209 4151  353 8165 8153]
1870,"[ 288 2345  315 2099  283    7 1109    2 2037  130  101  132  991  208
 2082   56  188 1104   16 2623]"
4984,[7816 9288 7636 9267]
4983,[1]
2245,[2144   56   85 1986 2129 2392 5265]
1797,[   0 1209 2099  161  132   67 1109  208  131 2129 1558  158  857]
1966,[2075    7    2]
1971,[  68 2144 2889]
2004,[   0 1209  161   85   10  100  131    7  158  857]
2003,[2129  274 1109 2889 1066    4 2220  315 1983 2392]
1560,[353   7   1   0]
1863,[ 288 2144    7 2099 2349  132   49  101   35    0  188]
2013,[68]
1968,[2345   16]
2272,"[  35    7    0 1109    2 1209  101  958 5265 2392 1772   49  287  326
 2351    4]"
2328,"[5359 3721    2 2037 5779 1558 2820 2082  288  353 1066   49 5805 4720
  821   54  274 6150 6113]"
2327,[5779   67 5082  281   53   16 2820 4720  131 1209 2392  158 1066 3491]
1770,[2179 2099   72   13   67 1209  161 1772  158]
1534,[130 161  49 331  16 287  14  37 188  67 335 317  44 132]
1535,"[ 342   14  364   37    4  158  161   49  240 1066 2275 2209  188  255
    0]"
1538,"[ 945  317  329   85   16   91  287  158  204  130  368  188  279    4
   84  274 1066    2]"
1547,[298 364 372  16 335  14   2 158 329 317 130 161]
1540,[158  67  72 329 161 130 287  91  16  37  44]
1539,[ 85 329  67 101 168   0 158   7]
1543,[  0  16  67  72 101 161  85 329 158 364 281]
1542,[ 85 266 240   7 945   4  56]
1541,[ 368   16  329  960  281   44 1793 2392]
1544,"[ 239    4   72    7  132   67    2  246  329   56  130  287  158   16
  131  281  342  960  861   14  315   65  317  335  958  945  878 1104
  206  133 1558  358]"
1548,[ 85 164 158 945  16 329  49]
1545,"[1066  364  161  495  131  281  329  158   72  368   67  317  335  279
  945    7   37]"
1550,[ 85 329 287 861 335   4 304]
1552,[ 85 130 132 131 945  56 329 317  37   7]
1551,[ 132   67   56  188  361    0 2082  288   16  353]
1855,"[2345   28  269  101 2306   67   16  161 2220   14  281  958    0   85
 2288   50 1209  146 2099  188 1772 2144    7 2243 2082 1986  208  158
  335 1558  326]"
1599,[  0  16  67 329 130 158  72 101 368]
1571,[  67   13   14  131   49   16  317   91 1104  158]
1553,[368 342  65  16 281  37]
1555,[ 361  287   72  130   49   37 1772   16]
1556,[298 287 361  37  50 342  67 240  65]
1557,"[1074  158   85   72  130  945  161   67 1066  335  131  281  368    7
  317   14    4   37   49  279  266]"
1558,"[1080  361  805   44  158  317  287  945  563    7   25   72  130   84
   56  161  342 1066   67  204  279  335  368  266]"
1559,"[ 279 1080  563  287  158   16  130   72  945    7   67  188  281   54
  368    2  317   37  293  266   49   91 2336  288 6254 6168 9475]"
4122,"[2392 1558    1 7851 4873 7636 2306 7846 2296 8060 6113 8212 8971    7
  132 8059 7962 7504 6168 8133 3721 9109   44 7600  505 7866  288 7816
 6260 9475  274 7643 2075 7481]"
1589,[ 861  130   14  364  368  274  161   67   35   37 2179]
1567,[   7   72  281   67  329  287  331   37  133 1104]
1568,"[ 342   67   72  317   14  158  315  287  329 1066  353  945  495  279
  188   37  132   54  805  878  274]"
1569,[  2 317 130  72 131   1  14 101 161 279  37  65 368 255]
1619,[298 132  14  67 266 130]
1570,[ 168   67  158   13  861 1104  283  945  304    0]
1878,[ 342 1986 2099    7  281   16  132 2075   35   67 2220]
1572,[  0  67 279 293 161  14 131 130 805 281 364  72   7 158 333 368  50 315]
1575,[ 67 161 158  37]
1574,"[2392 2306 7636  945 1104   72   50  168  283   68  281    1 6168 7543
 7816 6306]"
3439,[6274   16 6235 9475 6321]
1577,[ 49 130 158 283   0 188 329]
1576,"[ 266  368  130  287  158  279  315  333  132 1109 2306 6113  960   16
 6310 7036 9304]"
1581,"[1122    2  279   67  945  857   44   49   16   72  131  293   68  287
  368    1   54  364   37  266  861    7]"
1856,[2351   54  204 2099 2144  158]
1580,"[1080  293   14  132   85  158    2   72   50  101  342  287  266  317
  131  281  130  368 2336]"
1874,[1109 2275   54   35 2099 2082  188 1772  255   16 2075]
1582,[ 368 1730]
1584,[ 37 329  49 130 164 161 287]
1578,"[1109  130   16   72  368   14  158  958  131   67  101   65  317  161
  287  281  857  279   37]"
1613,"[ 49  12  40  19  13  43   7  11  72  85  81  67  64  84   5 184 182 130
  16 158 164   2 279 495]"
1841,"[   4 1983 2099  283    0  342  861   67 2319    7 2144   85   49 1209
  100   14 2082 1812   56   72 2075   35   65 2220  101  161  131   16
  274]"
1859,"[ 315  161 1066  878 2099  101 1986 2349 2243   14  283    4   56 2306
   16  342  861  130  188  208  132 2082 2037   53   50 1793   72  279
 2345  274  288   29   65  269  131  255  495   67    2 2336  991   44
 4151 2209 4772 6168 6278 6155 7543  887 6359 7635 6247 6271 7636 2750
 1558 6151 6317  133 7875 7757 7481 6106 8001 8117 8133 8113 7719 3721
 8054 6274 9548 9496 9586 9288 9267]"
1600,[   0   67  329  368 3491]
1585,[  0  67 342  50 287]
1712,[1772 2037  188  317  878]
1587,[283   7  49 331 317]
1586,[315  16 342 130  65 281   7 861 161  67 317  50 101 283]
1588,"[ 865   16  266 1066  861  279 1109   67   14   72    4  158   49  161
    2   50  288  131  101  304  333 1270 1558 2082 2220 1793 2075 2099
  132  991 2351   11]"
1597,"[ 329    4  279  255  130  293    7  161  317   49  315  342   85 1109
 6098   16  158 6113 1986 3143 6117 6145 6198 2288  333    2  132 6168
 2820 6173 2392 6120  821  288 2082 1558  274  283 6218 6122  168 6208
 6322  287 7481 6269    3]"
1872,[2306  188 2144  132 2082  287 1104  281 8165 8153 1558]
1604,[  14  132  188  158  130 1109  161  317]
1592,[ 132    2   16   10   14  101    7  317   49  279   44  281 1109  130]
1596,"[ 333  132    2  130   16  329   49  131  368   50  101  317  288  958
 2351]"
1598,[ 329    2   72  158   91  317 1109    4  861  315  188]
1633,[1109   14 1270  288  960  204  958  206  317    4   72    0]
1605,[   0 1109  132  353   50 1270    7  101  958  161  283  158  168   16]
1601,[1270 1109   67   50  161  353  368  958  158   72  281]
1602,[ 266    4  130  368  287  161   65 1368  315 1730]
1603,[  0 329  67 161]
3701,[4151]
1610,"[1368  131  161   72   16   67  317  320   50  130   49  158  342  279
 1270  333]"
1609,[ 85 287  72]
1608,[85]
1986,[2871  329 2750 2889   10 1209    7  333   67  293    2  315 9353]
1621,[ 168  188  364  281   85  101  283 1368  130    7   50   91]
1611,[   0   49  158 1109  281   50  130   67  958  131  279  353 1772]
1614,[  67   72  146   56  361  287  104 6278]
1651,"[1812  132  131  125   85  960  287    7  161  158   72   67   50 1730
  317]"
1616,[353 281 358]
1617,[1109  353  287    7  281 1270  958  315  158 1558]
1618,[125 353   1]
1620,"[   0   49   54 1109  132  958  361  131    7  188  281  495   67 1066
  364   16  158  317  101   14 1270    4  331]"
1675,[  7 112  49 317 281 188 958 287 168]
1624,"[  16   72   49   14  130  364  188   67 1368  161   50 1122  317  101
    7   37]"
1622,[ 85 315   7 283 317]
1623,[1558  333   67  100  131  320  281   72  161   50  158]
1703,[1772  132  878 2075]
1625,[  2   7 342  72]
1669,"[1744  132  112 1109   49  130  255  188  283    7  958  288  274  335
    2   56 2099  315]"
1654,[ 283 1772  298    2 1270   16  317 1730 1744  158 2082]
1626,"[1578  100 1270   67   72  161   16   14  266  317  960  364  158    4
    2]"
1740,"[ 130  991    2 2099   56   14  317  255 2075  281  342  353   67   16
   13   35   85    7 1983    0 2113  335   91  158]"
1628,[  85 1109  326  281  158 1983  288]
1629,[240  14  85 158 283 288   7]
1653,[1793   14   72   67  158 1730]
1636,[805 353  49 283 358 592]
1649,[   0 1730    2   67  131  353  161  317   50  130   85  100  960  158]
1631,"[  29 1608 1109  188   72  158  283   85   49   16   67  320  130  317
   84]"
1784,[ 288   35 2209  353   72  158 7846]
1632,[158 495 161 283]
1635,[ 358  132 1104   91   72   67  158]
1637,[   7 1608  288    1 6102]
2423,[  68 6088 9353]
1639,"[   7  206   14  131  342 1109   67 1104  281  364   91   72  101   54
  158   29  861  132  287  279  372   68  958    4  333  317    2  130
  805   35  133  592  293  274 1730   49  164]"
1638,[ 266  240   50 9393]
1643,[1558 1104   67  287  958 1109    7    4   54 1772]
1640,"[1558   29  960   54  158  132  287  281   50 1730   67  320 6321 7424
 7636 2220 9475    0 6278 4873 6247 6113]"
1642,"[1730   16   56   14  131  132  281   72  364   67  161   49  133  130
 1772  317  158]"
1645,[255 279]
1858,[2243   67 2099 2288 2275]
1644,[ 372  861  125  592  495  131  158 1730  358]
1646,[  72 1772  279  132    2 1109  364  161   85   67  158  887]
1647,[317 372 130 206]
1648,[ 372   85    7  317 1744    0 2220 2205   68]
1650,[  85  342   67   16  960  287 1730]
1665,[ 283 1109  132    2   16  158 1270  112 1066  317    4   29]
1655,"[ 130    0   14  317   50  161  372   85 1793  333 1730  131   67  158
   84   13]"
1656,[ 130    0   14 1730   67  158 1744   49  132  281]
1662,[ 14 168   2 161 287 131 132 130  16  49]
1657,"[ 298 1744    2   13  281  358    0 1730   67  158  188  861   29   72
  335  204 1812 2075 2220]"
1659,[  16 1744  317 1793  130 1270]
1666,[1772]
1673,[132  56   4 161]
1667,"[   0    4  132    2 1066  317  266   50 1558  101   67   16  204  320
  293  130   49 1730  158   14  131  255  240  329  287  333]"
1700,[1772]
1767,[  91    7   67  288  208   84 1104]
1674,[  67   14   13  161    2    7   68  132 2075   35 2144]
1670,[ 132 1744    7  101  287   16]
1672,[1578]
1671,[ 16 130  14 281 255 287]
1676,[266]
1677,[1772]
1801,"[2099   84 2243  161 1793  208  164   49  287 2271  298  288  317  188
 1558   91 2256]"
1678,[ 85   4 283 158]
1679,"[   4  317   16  158  288   14    2  132  130  293  287 1104 1983  315
 2082]"
1680,[   7  132  283  255   85 6106]
1681,[1578 1793    2]
1684,[1983   67  132   85  131  161  158   16 1793  960]
1682,[1793  188   67   14 2220  158    4 2075 2099    0  288 6176  887   16]
1685,[ 85 158  72 188]
1686,"[ 281  132   49  288    7   10  204   56  158  283   50  287 1772 1270
   16    2 1209  255  100 2099 2220  164   35  329  274   65   44 5359
 2392 5590 1176 3491 4151 6117 6174   67 1558 6145  130  168 6208 2288
 6168 7719 9475 6274 7730 6278 7481 6269 6113 7846 7504    1 7543 8650
 7346 7600 7903 9176 6359 9144 7508 7816 8117 2170 7760 9150 8212 9240
 9217 9481 9489 9174 6237 9510 9784]"
4322,[288]
1831,"[ 266   35   50 2099   84 2075  495  101   14  315    4   49  161  255
  158  288   91]"
1687,[  28   67    4  130    7 1066]
1689,[ 85   4  14 255 342   7  84]
1688,[ 266 1109   16  317   56    4]
1692,"[ 287   85    2   72  188   16  125  146   14   50  358    4 1209  101
   67    7 1066  353  130  274   56  878  288  158   49  255  161 1793
 2037    1  204  298 2243  887  131   29    0 2336 2275 3657 3659  281
  805 4720 2209 4151 5359 5590 1730 8260 8153 8026 9240 9475 1558 6144
 7543 9548 9496 7481 9503 9288]"
1698,[1209   67  132  353  131  161  188  960 1558  158 1104]
1691,[100]
1718,"[  49   35  287    7  288   56 2027 1558  161  283  333   85 2144  164
    0    1 2170  131  132 2082 7600]"
1693,[1772   10   72    2  878  188    0]
1694,[ 67 266]
1695,"[  49    0    2   14  130  293  132   16 1744   56  333   50  317   10
 1730  281  287 1270   67  131  112  288 1209  158]"
1696,"[7643   49 1558  188    7  168   14   67    2  130  333  281   16  158
  288   35  279  101 1104  283   13  208 2037 1109  161 2099   56  266
 2082 3721  132 6113 9475 2306    0 6155 6280 6254 6278 7958 6322 7600
 7575 7616 7508 4873 7481 6269 7424  353  274 7816 8165 8140 7719 8816
 9152 9334 9288 7760 9174 9304 9679 9571 7757]"
1697,"[9503 9519 7600 2820 9446  274   44 1109 1270  288   29  958  878   67
  158   56 1730  279   16  329  188  168 2351  132  857 2392 2179 6117
    3 6310 6269 6106 6313 6208   48  287 2075   68  960 2220 6322 6278
   49 7567 6321 7575 7405 6317 2306 1558 7719 7846 7888 7636    0 3721
 7504 2750 8001 6359 8149 8173 8125 7816    1 9393 9471 9475 6113 6260
 7508 9144 9327 9598 9605 9174 9304 9661 9655 6155 9217 9288 9267 9634
 9620 9679 9701 9521 9571 9211 9882  293 9728 6249]"
1727,"[ 266  329  130   50 2075  315 1983  188  317 1744  208  255   67    7
 2243 2220 2099  158    4   84]"
1699,"[ 878  266 1772  131   67   14   56  161  279    4  158   13  188 1793
 1209  287 1104]"
1860,"[2075 2099 2306 2082   49   29   14    4    7    1  342 1209  208  161
  335  266  255  274 2319  293 2275 1558   56 1066 1772   16 2144  353
  132  288  146 1983  188  158]"
1701,[ 353   44 1270  161  288  158]
1704,[878 266 132   7  37]
