topic id,Connected nodes
52,"[   1    5    3   16   11    7   41   14   49  108   68   13    2  100
  132  101  131  104  146 7508   50  161  164    9  168  158   67  279
  274  139  130    0  298 7730  329   72    4   65 6168  364  342  446
  266  239 2037   10  246 2075  283  288   84 2099 2319 2306 2392 2336
 1066  865 3491  805  281 2351 4151 5359 6098  991 6106 6113 6111 5082
 6120 2345 6176 6117 4873 2288  887 6208 6249 6155 9475 6288 6122 6322
 6431 6278 6254  960 6144 7370 7424 7346 1986 7575 1558 7635 7816 7846
   56 7481 7543 7882 7903 7504 7986 7600 8117 6237 6274 8212 8971 8165
 8650 3721 9149 9267 9144 9217 9288 9334 9304 9446 9503 9335 9548 8232
 9563 7636 9620 9679 9393 9363 2750 9571 9792 8192 9496 9888 9634 9916]"
5061,[9174 7986 8102 6260]
4949,[9300 9210 9176 9217 7643 9304 9152 9288 9475 8232]
51,[ 16   1 111]
53,"[   1   20   16    2    9    8   17   37    7    5   33   85   23   65
    0   67 1104  108   84   49   54  206  161  146  158  139   13   29
  129  142   53  132  101  236   72   43    3  255   63  263  261    4
  240  271  267  298  304   14  302  279  299  364  805  878 1730 1772
 2220 2351 2392  274 2179 2082 4151 3143 4720 5359 2306 5805 1066 6115
 6117 6106 7800 1558 7481 7720 6155 6359 6310  281 9475 7846 1209 7719
 7757  353 7504 6269 8026 8140 9240 9288 7875 9446 9503 9149 6122 9548
 9519 6168 9605 9267   68 9634 9304 9563 9655 9388 7543 9620 9698 9668]"
54,[  1  23  16   7  14   9   0  13  49   2 100  35  67 130]
55,[   1    9   23    8    5   14   16 3491]
2426,[6102  281 2392 3491 6113 9548 1558 9446  288 6168 9217 9519]
56,[1 9]
1969,[ 857  158 2037  188 6117  132]
1970,[  85  865  315   49 2220]
105,[33  8 14  5  9]
165,[ 2 37  7  5  9 16]
63,[11  2  3  5]
65,[16  5 11  1  3  9 12  4 14 13  8]
64,[8]
74,[12  1]
67,[   7   49   68    0  164  146   67  279 6117  288   56 6274]
3392,[ 288    4 6310 2220]
66,[   7    9    3   40  130    0  288  991 2037   67 6106 6117]
68,[   7   68 6113    0    4 3721  283  293   16    1 7719]
4138,[3721  132 3491 2296]
108,[20  2 11  8  9  4]
175,[40 44]
111,[  17    2    5   16   11    8    7    9   14   85 2075    0  283 6113]
3871,[6168  130    2 7346]
72,[7]
73,[ 9 12]
5762,[1]
106,[23 16  3  9  4]
75,[12  9]
243,"[   7   13    9   14   12   20  132    1   44   53   68   72   29   49
  101   16  130  317  139   28  114  168  129   67   63  261   84   91
   85  266  188 1772  288 2099   65    2 1109 4151 5359 2082 6117   86
 6113 6322   56 6278 8260 7346 9393 9288 7636 7543 9267 9679 9668]"
5408,[9327]
76,[ 0  4  7  9  1 16 11]
79,[12  9]
78,[ 14   4  12   9   2   5   7  37  40  47   1  16 197 132  67]
3696,[7496 4873 6168 6151 2220 6235]
276,[  7   3  44   1  16   8   2  13   9   4  11  14  49 100 101]
3672,"[7892 7958 7508  288 7504 1558 7776 7686 9475 7882 7866 8026 8184 7600
    0 8173 8816 9267 7760 6113 9112]"
83,[ 1 53]
86,[  9  67 182  84 130 161 164   0 146 158]
82,[   1 9728]
84,[   7 9334 6359]
85,[22  9  2 14]
88,[  7   5   4  12   2   6  40   9   1  11  37  23  49 230 164  16]
87,[ 9 14 16  3]
89,[29 16  9  3  8 11  1  2]
91,[   7   16  100 9482]
3659,[7346 7504 6254 6168  288  887   49]
92,"[  17    7    4    9   16   23   39    2    1  279 6106    3  130 6102
 6113 9475 6290 9393]"
94,[9 5 7]
107,[  5   2  33   7  16   1  11  20  13   8   9  56  79 182]
95,[12  2  9  1  5  7 16 14 11 33]
96,[ 0 12  9]
97,[   1    4   49  101  206 9353]
98,[   9    1    2   16    7    5   14   72   67   85   94  152  142 6113]
99,[7]
100,[7]
101,[19  4  9 11  8  2]
102,"[   1   16    4    5    9    3    7  100   14  132  130  152   67   53
  101  161  261   72  246  279  139  281  188  342  329 1109 2082 3491
  288 2306 6113 6117 6322 7816 8260 8117 9609]"
135,[  12    5    4   39    6    7   40  288 6088]
103,"[  17    9    2    3    7   35    0   19  108    1  188  197   49  279
  298 7508 7543 1558 8346 6155]"
104,[3 9 8 1]
154,[8]
112,[2 7]
115,[ 1 53]
211,[53  2  4  1  3  0 16]
116,[  9  16  35  68   5 108 279 304]
117,[  9  16   0 188 279]
118,[16  9]
1796,[  56 2099 2205  101  132 2144 1104  208    4  283]
133,[39  9 16  2  8  3]
121,[   3 6292 2220  288 6117]
122,[ 23   7  56  67   5  49   9 100  16]
123,[ 0  2 16  1  9  8  5]
124,[35  9  1  7 11  3  2  8  5]
125,[  5  16   9  25   8   7  37 161 164 158 279]
127,[ 13   9 173]
128,[   7   16   37   35   49  111 2306 6145]
129,"[6254    2    5    9   11   16   25   19    3    4    7   14   41   33
   29    8    1 6113 1066 6209 6207 6122 2220 6145 5343  288 6120    0
 1209  274 2306 9263 8310]"
130,[1 9]
131,[35  8  0]
132,[11  1  2  5 25  8 16  9 14 13]
134,[ 9 14  2 39 16 12 19 85 64  5  7 49]
136,[40 14  1 39  7  4]
138,[41  2 14  8  9  1 39  7 12  5  4 13  3 22]
137,[ 40   1 184]
208,"[   7   49   55    5    6  129  133  132   13  161  191   65  139    9
   28  142   67  206  261  158   16  279   84  246   54  168  317  131
  333  152  422   72  960  281  101 1772 2075 1558 2243 2351 1066   14
 2144  188 2082 1209  288 5359  821  991 6117 6208 6168    4  319 6322
    0 9150 2306 9176 9679]"
140,[39  9]
141,[14  0]
